高职 30 1 
点 30 0.952641 
新设 30 0.950459 
控制 30 0.950354 
个 30 0.950349 
贫困生 29 0.950348 
文明 29 0.950348 
教育部 29 0.950348 
高精尖 28 0.950348 
高精 28 0.950348 
化 28 0.950348 
中心 28 0.950348 
语文 27 0.950348 
文化 27 0.950348 
新政 26 0.950348 
实行 26 0.950348 
逆 25 0.950348 
袭 25 0.950348 
校 25 0.950348 
城区 25 0.950348 
可 25 0.950348 
管用 24 0.950348 
招考 24 0.950348 
志愿 24 0.663818 26 0.663818 
分 24 0.667662 26 0.667662 
不管 24 0.955074 
报 24 0.950576 
获得 23 0.950359 
考生 23 0.950349 
死 23 0.950348 
学籍 23 0.950348 
北京市 23 0.950348 
中招 24 0.540037 25 0.540037 26 0.540037 
京市 23 0.955924 
指导 22 0.950617 
部发 29 0.950361 
成立 22 0.950349 
上海 22 0.950348 
留守 21 0.950348 
发展 21 0.950348 
不再 21 0.950348 
千人 20 0.950348 
助力 19 0.950348 
近 18 0.950348 
救助 18 0.950348 
7 28 0.950348 
接受 18 0.950348 
康复 18 0.950348 
五 19 0.950348 
孤独症 18 0.950348 
万 18 0.950348 
都 29 0.950348 
胖 17 0.950348 
考后 24 0.663818 26 0.663818 
男孩 17 0.954831 
是 17 0.950564 
斤 17 0.950359 
干 17 0.950349 
奶奶 17 0.950348 
体重 17 0.950348 
明确 29 0.950348 
休学 17 0.950348 
档 23 0.950348 
地大 19 0.950348 
3 17 0.663818 30 0.663818 
活动 16 0.954831 
校长 16 0.950564 
寻找 16 0.950359 
好 16 0.950349 
公益活动 16 0.950348 
孤单 21 0.950348 
中国 16 0.950348 
》 8 0.950348 
《 8 0.950348 
风筝 10 0.950348 
百味 7 0.950348 
脱贫 19 0.950348 
司仪 7 0.950348 
优质 1 0.663818 3 0.663818 
重点 6 0.954831 
北京理工 11 0.950564 
计划 11 0.540045 20 0.540045 29 0.540045 
开放 9 0.955924 
学生 6 0.46754 10 0.46754 19 0.46754 25 0.46754 
A 13 0.956133 
地区 6 0.950627 
教授 28 0.950362 
1 6 0.35433 15 0.35433 16 0.35433 17 0.35433 25 0.35433 26 0.35433 30 0.35433 
不能 23 0.955262 
在京 11 0.950585 
亿元 15 0.95036 
年 6 0.663819 30 0.663819 
网上 5 0.954831 
职工 12 0.950564 
文化周 27 0.950359 
百万 5 0.950349 
花台 8 0.950348 
实习 20 0.950348 
后 7 0.986861 
国统 13 0.910405 
学子 5 0.948336 
” 2 0.264573 4 0.264573 7 0.529147 10 0.264573 16 0.264573 17 0.264573 23 0.264573 24 0.264573 25 0.264573 28 0.264573 
专项 29 0.94859 
2 6 0.338686 16 0.338686 25 0.338686 26 0.338686 30 0.677372 
　 29 0.946438 
后知 24 0.663655 26 0.663655 
网络课堂 10 0.954821 
首次 26 0.950564 
葬礼 7 0.950359 
子网 5 0.950349 
诗歌 10 0.950348 
教委 23 0.950348 
理工 11 0.950348 
： 4 0.382219 10 0.382219 17 0.382219 23 0.382219 25 0.382219 26 0.382219 
被迫 17 0.955653 
  1 0.167473 2 0.167473 3 0.167473 4 0.167473 5 0.167473 6 0.167473 7 0.167473 8 0.251209 9 0.251209 10 0.167473 11 0.167473 12 0.167473 13 0.167473 14 0.167473 15 0.167473 16 0.167473 17 0.167473 18 0.167473 19 0.167473 20 0.167473 21 0.167473 22 0.167473 23 0.167473 24 0.251209 25 0.251209 26 0.167473 27 0.167473 28 0.167473 29 0.167473 30 0.167473 
雨花台 8 0.895996 
陆续 15 0.947569 
创业 22 0.950213 
中校 3 0.950342 
国家 4 0.663818 30 0.663818 
一放 4 0.954831 
孤独 18 0.950564 
E 13 0.950359 
地 10 0.950349 
难题 9 0.950348 
高校 6 0.467368 8 0.467368 22 0.467368 29 0.467368 
< 1 0.175941 2 0.175941 3 0.175941 4 0.175941 5 0.175941 6 0.175941 7 0.175941 8 0.175941 9 0.175941 10 0.175941 11 0.175941 12 0.175941 13 0.175941 14 0.175941 15 0.175941 16 0.175941 17 0.175941 18 0.175941 19 0.175941 20 0.175941 21 0.175941 22 0.175941 23 0.175941 24 0.175941 25 0.175941 26 0.175941 27 0.175941 28 0.175941 29 0.175941 30 0.175941 
中考 23 0.946221 
人才 2 0.950148 
让 21 0.950339 
“ 2 0.264598 4 0.264598 7 0.529197 10 0.264598 16 0.264598 17 0.264598 23 0.264598 24 0.264598 25 0.264598 28 0.264598 
将 3 0.538751 8 0.538751 23 0.538751 
如何 2 0.955825 
4 17 0.664044 18 0.664044 
0 6 0.268498 7 0.536996 16 0.268498 17 0.536996 25 0.268498 26 0.268498 30 0.268498 
儿童 18 0.656845 21 0.656845 
新 1 0.954384 
生计 11 0.663985 20 0.663985 
体验 7 0.954842 
. 15 0.950565 
抢 1 0.950359 
价格 4 0.950349 
毕业 3 0.950348 
游客 9 0.950348 
有 3 0.663818 17 0.663818 
贫困地区 6 0.954831 
B 13 0.950564 
对外开放 9 0.950359 
机会 3 0.950349 
增加 11 0.950348 
官本位 2 0.950348 
北京 1 0.35433 3 0.35433 11 0.35433 23 0.35433 24 0.35433 25 0.35433 26 0.35433 
首批 22 0.955262 
教材 4 0.664021 14 0.664021 
嗨 27 0.954844 
小学生 10 0.950565 
专业 1 0.467375 11 0.467375 21 0.467375 30 0.467375 
大学 9 0.544284 11 0.544284 19 0.544284 
补助金 15 0.956245 
将定 6 0.950632 
名校 1 0.66383 28 0.66383 
本位 2 0.954832 
谁 29 0.950564 
高中 3 0.950359 
定价 14 0.950349 
英烈 5 0.950348 
在 7 0.435634 8 0.871267 
， 2 0.527757 13 0.527757 21 0.527757 
岗位 7 0.954966 
人大附中 12 0.950571 
海市 22 0.950359 
上体 7 0.950349 
甘肃 15 0.950348 
部分 25 0.950348 
人生 7 0.950348 
清明 10 0.950348 
6 6 0.677423 16 0.338712 25 0.338712 26 0.338712 30 0.338712 
万名 6 0.946442 
学前教育 15 0.950158 
之 4 0.950339 
一种 17 0.950348 
启动 16 0.663818 20 0.663818 
更多 3 0.954831 
初中 3 0.950564 
小学 10 0.663827 14 0.663827 
业生 3 0.954832 
生源 1 0.950564 
百场 8 0.950359 
读 3 0.950349 
省 10 0.950348 
毕业生 3 0.950348 
社工 21 0.950348 
岁 17 0.950348 
和 6 0.950348 
理工大学 11 0.950348 
8 7 0.663818 15 0.663818 
重点高校 6 0.954831 
管理 2 0.950564 
贫困 6 0.540045 18 0.540045 29 0.540045 
教育 15 0.668602 29 0.668602 
发文 29 0.955133 
发改委 4 0.950579 
站 22 0.950359 
上演 8 0.950349 
全国 8 0.663818 13 0.663818 
聘用 28 0.954831 
经验 24 0.950564 
了 4 0.663827 24 0.663827 
全国高校 8 0.954832 
北大 8 0.950564 
话剧 8 0.950359 
雨花 8 0.950349 
百名 12 0.950348 
" 9 0.986861 
大学校园 9 0.910405 
大量 9 0.948336 
学校 9 0.950251 
校区 12 0.950344 
对外 9 0.950348 
常年 9 0.950348 
普通 3 0.950348 
校园 9 0.663818 27 0.663818 
花季 9 0.954831 
北京市教委 23 0.950564 
9 7 0.540045 15 0.540045 30 0.540045 
进入 9 0.955924 
农村 6 0.950617 
遇 9 0.950361 
大学生 19 0.950349 
三 10 0.950348 
世界 28 0.950348 
四 10 0.950348 
法语 27 0.950348 
通州 12 0.950348 
画 10 0.950348 
名教 12 0.950348 
网络 10 0.950348 
招收 6 0.663818 29 0.663818 
蛋 10 0.954831 
课堂 10 0.950564 
的 7 0.467375 17 0.467375 29 0.467375 30 0.467375 
定向 6 0.956119 
今年 11 0.950626 
优势 11 0.950362 
位 28 0.950349 
加在 11 0.950348 
市教委 23 0.950348 
北京理工大学 11 0.950348 
工大 11 0.950348 
祭 5 0.950348 
招生 11 0.950348 
翻 27 0.950348 
话 10 0.950348 
教职工 12 0.950348 
明年 13 0.950348 
理工大 11 0.950348 
填报 26 0.950348 
郊区 25 0.950348 
人大 12 0.950348 
并非 4 0.950348 
补助 15 0.950348 
摒弃 2 0.950348 
招 12 0.540037 25 0.540037 29 0.540037 
中小学 14 0.955924 
教职 12 0.950617 
实习生 20 0.950361 
投放 1 0.950349 
附中 12 0.950348 
M 13 0.950348 
北 28 0.950348 
统考 13 0.950348 
下放 14 0.950348 
上海市 22 0.950348 
中小 14 0.950348 
定价权 14 0.950348 
公益 16 0.950348 
发放 15 0.950348 
老 24 0.950348 
巡演 8 0.950348 
学前 15 0.950348 
中法 20 0.950348 
甘肃省 15 0.950348 
